highway,addr:city,addr:housenumber,addr:postcode,addr:street,bench,bus,covered,departures_board,description,gtfs_id,name,network,network:wikidata,network:wikipedia,operator,public_transport,route_ref,shelter,wheelchair,natural,crossing,crossing:markings,maxspeed,lanes,lit,postal_code,surface,bicycle,foot,oneway,handrail,incline,ramp,alt_name,maxspeed:type,amenity,brand,brand:wikidata,brand:wikipedia,building,roof:material,lanes:backward,lanes:forward,source,horse,height,shop,contact:phone,area,footway,barrier,type,area_m2,length_m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.835,,,,,,,61.17504510602106,37.474420905629835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,10.943,,,,,,,173.6787075858796,54.00532048488878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,9.918,,,,,,,137.67908551943663,60.441523123122614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,8.426,,,,,,,99.63207164352629,53.882457300971154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.599,,,,,,,18.885003866531132,18.495755641657198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.131,,,,,,,87.31997503968263,46.073207486945215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.442,,,,,,,37.313579079617185,26.36295473164572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.668,,,,,,,121.29487123136381,59.16109746561171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.701,,,,,,,40.69624123709149,31.724626145890234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.451,,,,,,,123.22758129312695,66.53758918859785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.727,,,,,,,134.3716223274359,72.34108409763749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.72,,,,,,,55.19157149744075,33.54629661482221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.052,,,,,,,111.07105172680346,60.48143971260475
