crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,residential,,,,Rua 71,,,paved,,,,,Rua Setenta e Um,,,,,,,,,,,,,,,,,,0.0,63.15669334607832
,residential,,,,Rua 36,,,paved,,,,,Rua Trinta e Seis,,,,,,,,,,,,,,,,,,0.0,61.536523209148804
,residential,,,,Rua Orvalho,,,paved,,,,,Rua Setenta e Quatro;Rua 74,,,,,,,,,,,,,,,,,,0.0,62.901085151253106
,residential,,,,Rua 34,,,paved,,,,,Rua Trinta e Quatro,,,,,,,,,,,,,,,,,,0.0,64.01565777340788
,residential,,,,Rua 80,,,paved,,,,,Rua Oitenta,,,,,,,,,,,,,,,,,,0.0,64.39316633178711
,residential,,,,Rua 15,,,paved,,,,,Rua Quinze,,,,,,,,,,,,,,,,,,0.0,55.77461024386541
,residential,,,,Rua 84,,,paved,,,,,Rua Oitenta e Quatro,,,,,,,,,,,,,,,,,,0.0,62.811205633883056
,residential,,,,Rua Vira Copos,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,69.7950760260625
,residential,,,,Rua 14,,,paved,,,,,Rua Quatorze,,,,,,,,,,,,,,,,,,0.0,46.623383447926365
,residential,,,,Rua Alfredo de Souza LIvramento,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,27.997822906243243
,residential,,,,Rua Francisco Frederico Massom Sobrinho,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,67.48805256843134
,residential,,,,Rua Jairo Ramalho,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,56.6945986972126
,residential,,,,Rua Oswando Miguel Marcos,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,64.32718084356125
,residential,,,,Rua Carlos Drumond de Andrade,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,63.25636379259911
,residential,,,,Rua 56,,,paved,,,,,Rua Cinquenta e Seis,,,,,,,,,,,,,,,,,,0.0,61.989902626289854
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,63.69149559135626
,residential,,,,Rua 86,,,paved,,,,,Rua Oitenta e Seis,,,,,,,,,,,,,,,,,,0.0,62.35636825266852
,residential,,,,Rua 89,,,paved,,,,,Rua Oitenta e Nove,,,,,,,,,,,,,,,,,,0.0,65.53445251266015
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.40881002622597
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,59.45329930792903
,residential,,,,Rua 90 A,,,paved,,,,,Rua Noventa A,,,,,,,,,,,,,,,,,,0.0,64.4178377107246
,residential,,,,Rua 09,,,paved,,,,,Rua 9; Rua Nove,,,,,,,,,,,,,,,,,,0.0,68.72267639802357
